heldout_fold,source_fp,flood_bin,n_tiles,mean_flood_fraction,median_flood_fraction,min_flood_fraction,max_flood_fraction,total_valid_pixels,total_flood_pixels,total_flood_fraction,percent_tiles_within_fold
fp2,fp3,0-1%,3,0.006591581459744294,0.007049775688955351,0.0043782837127845885,0.008346684977492943,85175,658,0.0077252714998532436,0.004166666666666667
fp2,fp3,1-5%,11,0.027163884654798912,0.02298146162095909,0.014556884765625,0.046202777918760256,644235,16772,0.026033978284321715,0.015277777777777777
fp2,fp3,10-25%,29,0.17766179566425538,0.19290455481803617,0.10292097793242377,0.24085496183206107,1718667,307657,0.17900908087488734,0.04027777777777778
fp2,fp3,25-50%,21,0.35594450025943414,0.35944869270570995,0.2606964111328125,0.46627495447204753,1251221,443198,0.354212405322481,0.029166666666666667
fp2,fp3,5-10%,23,0.07458860613471882,0.077880859375,0.05068033918359298,0.09691004806591898,1444860,109133,0.07553188544218817,0.03194444444444444
fp2,fp3,>50%,26,0.7513324678270072,0.7658004073661103,0.5106658935546875,0.9878510256920932,1276685,899595,0.7046334843755507,0.03611111111111111
fp2,fp4,0-1%,18,0.0027932444054035847,0.0,0.0,0.009731567903914334,294739,2027,0.006877271077122471,0.025
fp2,fp4,1-5%,29,0.028224076663774862,0.025641418631027188,0.010044114728824168,0.049808897722060846,1617196,47621,0.029446647159651645,0.04027777777777778
fp2,fp4,10-25%,37,0.16292492815296938,0.15260835712431872,0.10871360411059457,0.24516976463580406,2202134,362116,0.1644386763021687,0.05138888888888889
fp2,fp4,25-50%,19,0.3474735285621722,0.3225806451612903,0.2506382913666315,0.49413254795440326,1082130,378674,0.3499339266077089,0.02638888888888889
fp2,fp4,5-10%,32,0.07420047570813702,0.074396584438067,0.05280266149831367,0.0970104839078881,1878686,139172,0.07407943637201746,0.044444444444444446
fp2,fp4,>50%,7,0.7189194077104507,0.6892245775560273,0.6265117273393599,0.8133251833740831,363673,257294,0.7074872206625182,0.009722222222222222
fp2,fp5,0-1%,14,0.0010311965626290988,0.0,0.0,0.006197465813574206,148083,515,0.0034777793534706888,0.019444444444444445
fp2,fp5,1-5%,17,0.026251369920007362,0.0225982666015625,0.010044114728824168,0.047339264730569076,1059151,27942,0.026381507452667277,0.02361111111111111
fp2,fp5,10-25%,29,0.15461032688898868,0.14874645005649373,0.10067790399413705,0.24722616485814142,1791873,280103,0.15631855605838138,0.04027777777777778
fp2,fp5,25-50%,23,0.33267248874453353,0.3176976836451308,0.2585538564844489,0.47842352797459076,1414748,468952,0.3314738737923644,0.03194444444444444
fp2,fp5,5-10%,21,0.0752875049609686,0.07531706423698549,0.05280266149831367,0.09923838886429891,1267709,95775,0.07554967267724691,0.029166666666666667
fp2,fp5,>50%,22,0.7159135467466995,0.70819091796875,0.5099767768746563,0.993865966796875,1347095,959943,0.712602303475256,0.030555555555555555
fp2,fp6,0-1%,7,0.006914196333367155,0.007049775688955351,0.002999555621389424,0.009731567903914334,231802,1697,0.007320903184614456,0.009722222222222222
fp2,fp6,1-5%,26,0.030438329515871037,0.028583669605508684,0.010988603036715299,0.049808897722060846,1398699,44332,0.03169516815269047,0.03611111111111111
fp2,fp6,10-25%,30,0.16457599833031247,0.15877930653656314,0.10462633451957296,0.24009395424836602,1670999,274509,0.1642783747925642,0.041666666666666664
fp2,fp6,25-50%,24,0.3387252418971445,0.3058825239153054,0.2506382913666315,0.48618395901827355,1375685,464089,0.33735121048786604,0.03333333333333333
fp2,fp6,5-10%,23,0.07394091314456692,0.07668702290076336,0.05068033918359298,0.09691004806591898,1335473,99588,0.07457133165552579,0.03194444444444444
fp2,fp6,>50%,26,0.7631919040168028,0.7828462745544063,0.5194139194139195,0.9878510256920932,1275873,919303,0.7205286106062281,0.03611111111111111
fp2,fp7,0-1%,3,0.0018666585286458333,0.0013427734375,1.52587890625e-05,0.004241943359375,196608,367,0.0018666585286458333,0.004166666666666667
fp2,fp7,1-5%,20,0.032622684568703944,0.03342487105743476,0.016265869140625,0.0487518310546875,1310711,42759,0.03262275207883355,0.027777777777777776
fp2,fp7,10-25%,19,0.16004184176113267,0.155853271484375,0.1002197265625,0.244140625,1244753,199236,0.16006067067120947,0.02638888888888889
fp2,fp7,25-50%,22,0.35519478537819604,0.35216522216796875,0.2541656494140625,0.4925384521484375,1441792,512117,0.35519478537819604,0.030555555555555555
fp2,fp7,5-10%,18,0.07086094770978231,0.06385040283203125,0.050689697265625,0.09722900390625,1179187,83563,0.07086492642812378,0.025
fp2,fp7,>50%,12,0.6879793802897135,0.6603851318359375,0.514495849609375,0.858062744140625,786432,541049,0.6879793802897135,0.016666666666666666
fp3,fp1,0-1%,8,0.00457763671875,0.0047454833984375,0.00030517578125,0.009246826171875,524288,2400,0.00457763671875,0.012345679012345678
fp3,fp1,1-5%,27,0.02817952011007616,0.0214691162109375,0.0108795166015625,0.048828125,1769168,49857,0.028181043292666384,0.041666666666666664
fp3,fp1,10-25%,23,0.14766952695097088,0.13360595703125,0.114898681640625,0.2010955810546875,1507292,222581,0.1476694628512591,0.035493827160493825
fp3,fp1,25-50%,8,0.3773060254466114,0.378944021271749,0.25806451612903225,0.4831837880730025,524270,197810,0.3773055868159536,0.012345679012345678
fp3,fp1,5-10%,34,0.07572719032629201,0.08007995897451743,0.05001907377737087,0.0993194580078125,2227670,168697,0.07572800280113302,0.05246913580246913
fp3,fp1,>50%,7,0.6414509809520462,0.6034393310546875,0.54779052734375,0.7626249523082793,458734,294254,0.6414479851068375,0.010802469135802469
fp3,fp2,1-5%,17,0.028772974314140116,0.0270843505859375,0.0119781494140625,0.044647216796875,1114056,32055,0.0287732394062776,0.026234567901234566
fp3,fp2,10-25%,24,0.1496283872743385,0.14300537109375,0.10359246711229131,0.2269744873046875,1572740,235327,0.14962867352518536,0.037037037037037035
fp3,fp2,25-50%,20,0.3379871614363842,0.314971923828125,0.2570953369140625,0.4802929732204166,1310663,442987,0.3379869577458126,0.030864197530864196
fp3,fp2,5-10%,14,0.07091424613236419,0.07032255338056963,0.05069841996794138,0.096954345703125,917266,65047,0.07091399877461936,0.021604938271604937
fp3,fp2,>50%,21,0.707478696727154,0.6801617579734472,0.546539306640625,0.9493995391634749,1376067,973554,0.7074902602852914,0.032407407407407406
fp3,fp4,0-1%,17,0.0026686225260709735,0.0,0.0,0.009731567903914334,255746,1834,0.0071711776528274145,0.026234567901234566
fp3,fp4,1-5%,25,0.028544820470897438,0.0225982666015625,0.010044114728824168,0.049808897722060846,1440667,42632,0.029591848775601858,0.038580246913580245
fp3,fp4,10-25%,38,0.1602112376423809,0.1522471485923283,0.10236220472440945,0.24516976463580406,2205007,360297,0.16339948127148804,0.05864197530864197
fp3,fp4,25-50%,27,0.3487094180625392,0.337972216669998,0.2506382913666315,0.49413254795440326,1478000,516257,0.34929431664411364,0.041666666666666664
fp3,fp4,5-10%,26,0.07417706957378475,0.07517609505172433,0.052459716796875,0.0970104839078881,1493865,110911,0.07424432595984243,0.040123456790123455
fp3,fp4,>50%,7,0.6635115999824475,0.6469501777716212,0.5220235717139433,0.8096052270021067,366624,238277,0.6499219909225801,0.010802469135802469
