heldout_fold,source_fp,n_tiles,mean_flood_fraction,median_flood_fraction,min_flood_fraction,max_flood_fraction,total_valid_pixels,total_flood_pixels,total_flood_fraction,percent_tiles_within_fold
fp5,fp2,112,0.2666193893218503,0.167266845703125,0.001359311282283643,0.9493995391634749,7066512,1941760,0.274783372617212,0.16842105263157894
fp5,fp3,134,0.3168758544941662,0.2381772329695136,0.001359311282283643,0.9878510256920932,7333935,2178217,0.2970052229805691,0.20150375939849624
fp5,fp4,76,0.17837098803507825,0.10954043900789566,0.002999555621389424,0.8133251833740831,4370784,820272,0.18767159392914406,0.11428571428571428
fp5,fp6,143,0.2914799192244279,0.18211379631467262,0.002999555621389424,0.9878510256920932,7587129,2074096,0.273370335472087,0.21503759398496242
fp5,fp7,94,0.20465796076928597,0.12537384033203125,0.0013427734375,0.858062744140625,6159486,1260698,0.2046758447052238,0.14135338345864662
fp6,fp1,103,0.12367383122501181,0.0831054970903148,0.00030517578125,0.7626249523082793,6748678,834709,0.1236848164929487,0.17166666666666666
fp6,fp2,104,0.2670202124769344,0.1745597591488338,0.0011476664116296864,0.9493995391634749,6549232,1806425,0.2758224170406545,0.17333333333333334
fp6,fp3,83,0.2169206366469989,0.1849365234375,0.0011476664116296864,0.8451472858737026,5172250,1166174,0.2254674464691382,0.13833333333333334
fp6,fp4,84,0.1412558842350761,0.07893748149511648,0.0,0.7967479674796748,3895774,610260,0.15664666379517908,0.14
fp6,fp5,129,0.21944429055800926,0.1198577880859375,0.0,0.993865966796875,6843621,1687222,0.246539368559422,0.215
fp6,fp7,97,0.19753897068835308,0.11196551144267959,1.52587890625e-05,0.858062744140625,6356093,1255680,0.19755532211375762,0.16166666666666665
fp7,fp1,106,0.14058752814853887,0.08183808154519431,0.00030517578125,0.7626249523082793,6944827,976493,0.1406072462280198,0.13856209150326798
fp7,fp2,115,0.2662486828731887,0.164764404296875,0.0011476664116296864,0.9472302762093697,7164849,1978396,0.2761252888930388,0.1503267973856209
fp7,fp3,135,0.3051234861308672,0.2376708984375,0.0011476664116296864,0.9986722219678587,7420095,2145551,0.289154114603654,0.17647058823529413
fp7,fp4,141,0.16252131655874003,0.10236220472440945,0.0,0.8096052270021067,7235136,1279100,0.17679004237100726,0.1843137254901961
fp7,fp5,130,0.21502469464934776,0.11201663636150834,0.0,0.993865966796875,7041023,1667757,0.2368628819988232,0.16993464052287582
fp7,fp6,138,0.28488017188060377,0.2098883467371193,0.002999555621389424,0.9986722219678587,7459824,1991434,0.26695455549621544,0.1803921568627451
