heldout_fp,method,checkpoint_path,selected_threshold,selected_val_dice,selected_val_iou,selected_val_precision,selected_val_recall,test_loss,test_dice,test_iou,test_precision,test_recall,test_accuracy,test_tp,test_fp,test_fn,test_tn,best_epoch,best_val_loss,sweep_csv
fp4,contrastive,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/models/lofo_fp4_contrastive_best.pt,0.39,0.6126066012940502,0.44155219555278946,0.5333901561166265,0.7194567251076707,0.6317662447690964,0.45951239431020485,0.29829022486971263,0.31633271057125284,0.8394817225691478,0.6605554232939859,1711626,3699215,327282,6123893,20,0.5130063593387604,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/results/lofo_fp4_contrastive_threshold_sweep.csv
fp4,denoising,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/models/lofo_fp4_denoising_best.pt,0.46,0.627961066768694,0.45768458281995245,0.5827694385048672,0.6807507886525831,0.625574047366778,0.4768467993998671,0.31306555322996826,0.344297202504797,0.7753429777116095,0.7075760140603443,1580853,3010683,458055,6812425,13,0.5076448559761048,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/results/lofo_fp4_denoising_threshold_sweep.csv
fp4,weak_simsiam,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/models/lofo_fp4_weak_simsiam_best.pt,0.49,0.6355676373849249,0.46581102500882055,0.6678618887244187,0.6062524891623089,0.6187023421128591,0.6048544391748201,0.43354217377653687,0.6155311666299572,0.5945417841315256,0.8664764910113099,1212216,757166,826692,9065942,16,0.4963766783475876,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/results/lofo_fp4_weak_simsiam_threshold_sweep.csv
fp4,hybrid,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/models/lofo_fp4_hybrid_best.pt,0.47,0.635036895154471,0.46524106981363844,0.5666177109812678,0.7222485265591925,0.6067964484294256,0.4834581174513116,0.3187898224339345,0.33941097916321966,0.8399250971598601,0.6914991515776095,1712530,3333064,326378,6490044,19,0.49278965294361116,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/results/lofo_fp4_hybrid_threshold_sweep.csv
fp5,random,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/models/lofo_fp5_random_best.pt,0.59,0.6769501303492702,0.5116588164042427,0.7029553424717497,0.6528003576007798,0.5872119426727295,0.6116995614910978,0.44061036395558734,0.589293855705531,0.6358763949738125,0.8145521163940448,1531659,1067484,877078,7009539,14,0.4877725809812546,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/results/lofo_fp5_random_threshold_sweep.csv
fp5,mae,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/models/lofo_fp5_ssl_best.pt,0.57,0.672513418844603,0.506606566417629,0.6845580023900465,0.6608853482312577,0.5576869994401932,0.6348227530926348,0.4650112317142376,0.6354054758865744,0.6342410981356771,0.8323802947998062,1527720,876603,881017,7200420,16,0.4854672700166702,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/results/lofo_fp5_mae_threshold_sweep.csv
fp5,contrastive,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/models/lofo_fp5_contrastive_best.pt,0.53,0.6537720585984088,0.4856325132560841,0.6623870189325058,0.6453783123407401,0.5607625752687454,0.6456889992650786,0.47676567562007877,0.6730918293675586,0.6204301258294441,0.8435867309570327,1494453,725828,914284,7351195,14,0.5091619491577148,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/results/lofo_fp5_contrastive_threshold_sweep.csv
fp5,denoising,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/models/lofo_fp5_denoising_best.pt,0.51,0.661621258330264,0.494345313274214,0.6763388026489782,0.6475305980904767,0.5604595452547073,0.6158690118867891,0.4449499485061943,0.645913719600565,0.5884951325113704,0.8313628196716325,1417530,777082,991207,7299941,19,0.48970687091350557,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/results/lofo_fp5_denoising_threshold_sweep.csv
fp5,weak_simsiam,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/models/lofo_fp5_weak_simsiam_best.pt,0.48,0.6737588465296821,0.5080213690901509,0.6882279966304329,0.6598855613918567,0.5345898479223251,0.6492965600605255,0.4807099329588085,0.6887141272902298,0.6141467499357707,0.8475987434387222,1479318,668624,929419,7408399,19,0.4755405604839325,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/results/lofo_fp5_weak_simsiam_threshold_sweep.csv
fp5,hybrid,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/models/lofo_fp5_hybrid_best.pt,0.52,0.684039464032447,0.5198024145378497,0.7214811873324851,0.6502921413732135,0.5641421735286712,0.6183763162677001,0.4475721743544799,0.63430485981514,0.6032281648017361,0.8289655685424822,1453018,837707,955719,7239316,19,0.4694556474685669,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/results/lofo_fp5_hybrid_threshold_sweep.csv
fp6,random,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/models/lofo_fp6_random_best.pt,0.71,0.6665560748520398,0.49987559452722313,0.688574965444634,0.6459017655566642,0.5384117798371748,0.5975864471072012,0.4261128579901081,0.7102077776191995,0.5157942740981606,0.8147379258099741,1532546,625338,1438689,7544547,20,0.5280730903148652,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/results/lofo_fp6_random_threshold_sweep.csv
fp6,mae,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/models/lofo_fp6_ssl_best.pt,0.46,0.6532432879659196,0.4850492164834293,0.6391392847934874,0.667983808504145,0.6017924005335028,0.5412158010202709,0.37100470473892494,0.6867736221919419,0.44656817787891406,0.7980871761546434,1326859,605159,1644376,7564726,15,0.5385615199804306,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/results/lofo_fp6_mae_threshold_sweep.csv
fp6,contrastive,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/models/lofo_fp6_contrastive_best.pt,0.55,0.6324499237735511,0.46246929803017806,0.6277682548851343,0.6372019457206861,0.5705032782121138,0.5749200051625074,0.40342998796224,0.6655877704434823,0.5059926259619483,0.8004528270048271,1503423,755367,1467812,7414518,20,0.558265995979309,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/results/lofo_fp6_contrastive_threshold_sweep.csv
fp6,denoising,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/models/lofo_fp6_denoising_best.pt,0.48,0.6681029200439803,0.5016175274339161,0.7206933948291743,0.6226657253072021,0.594188925894824,0.5404751109450564,0.37030893751666866,0.759011809995504,0.4196487319246232,0.8096918442670054,1246875,395886,1724360,7773999,18,0.5247736871242523,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/results/lofo_fp6_denoising_threshold_sweep.csv
fp6,weak_simsiam,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/models/lofo_fp6_weak_simsiam_best.pt,0.44,0.6726251070013242,0.5067333355099145,0.6968840479801598,0.6499982867708823,0.5961655188690532,0.5473601895048373,0.3768037923442782,0.7862905945621687,0.4197964819342993,0.8148360308478877,1247314,339013,1723921,7830872,20,0.5125721216201782,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/results/lofo_fp6_weak_simsiam_threshold_sweep.csv
fp6,hybrid,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/models/lofo_fp6_hybrid_best.pt,0.74,0.6992465457456334,0.537570393112255,0.7334374801183942,0.6681014079359451,0.5678638599135659,0.5511519599880349,0.3804070163103486,0.7825760127604482,0.42536319072710754,0.8152323105755991,1263854,351138,1707381,7818747,19,0.5085283935070037,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/results/lofo_fp6_hybrid_threshold_sweep.csv
fp7,random,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/models/lofo_fp7_random_best.pt,0.58,0.6783419024904763,0.5132506688142143,0.7053138069408098,0.6533568827174359,0.7300862222909927,0.4879329159689257,0.3226926378611125,0.5219915075378624,0.4580465659355312,0.7955399211655342,746926,683990,883751,5353045,18,0.5174273078640302,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/results/lofo_fp7_random_threshold_sweep.csv
fp7,mae,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/models/lofo_fp7_ssl_best.pt,0.57,0.6857119187877992,0.5217363899057493,0.7191906779480329,0.6552114320527593,0.7169869616627693,0.48579197635615606,0.3208224819646334,0.5800021447612014,0.4179104752198371,0.8118501320863406,681477,493479,949200,5543556,15,0.5252558067440987,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/results/lofo_fp7_mae_threshold_sweep.csv
fp7,contrastive,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/models/lofo_fp7_contrastive_best.pt,0.44,0.6416807236370317,0.47240787552923746,0.6604499957544874,0.6239487765557956,0.7418365180492401,0.498640956833179,0.3321263884896008,0.4851600074018986,0.5128924980238568,0.780659210987583,836362,887527,794315,5149508,19,0.5494936679800352,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/results/lofo_fp7_contrastive_threshold_sweep.csv
fp7,denoising,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/models/lofo_fp7_denoising_best.pt,0.6,0.6691847228681316,0.5028381732364439,0.6981946780040076,0.642489322559432,0.7443525791168213,0.4687920981601172,0.3061583587681623,0.4992336686899269,0.44184961215498586,0.787043514414733,720514,722726,910163,5314309,17,0.5322644660870234,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/results/lofo_fp7_denoising_threshold_sweep.csv
fp7,weak_simsiam,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/models/lofo_fp7_weak_simsiam_best.pt,0.76,0.6781222929865705,0.5129992656572504,0.7111514084930464,0.6480250533783807,0.7191380672156811,0.5108771929824725,0.3430725730443274,0.5642143279679018,0.46675337911803094,0.8099267421624624,761124,587874,869553,5449161,19,0.5361644104123116,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/results/lofo_fp7_weak_simsiam_threshold_sweep.csv
fp7,hybrid,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/models/lofo_fp7_hybrid_best.pt,0.48,0.684342765045431,0.5201527775348502,0.7635839632048101,0.6200018517222917,0.7628701478242874,0.461517580886516,0.29998235608859347,0.5765938068380119,0.38473284408871994,0.8090697720519523,627375,460696,1003302,5576339,17,0.5179451281825701,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/results/lofo_fp7_hybrid_threshold_sweep.csv
