fold,method,seed,run_name,path,dice,iou,precision,recall,accuracy
fp6,random,2,seedrep_fp6_random_seed2,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/seed_replication/raw_results/seedrep_fp6_random_seed2_test_metrics.csv,0.5262944374951772,0.3571231939985771,0.8434470694150673,0.382475973795429,0.81637914321002
fp6,random,3,seedrep_fp6_random_seed3,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/seed_replication/raw_results/seedrep_fp6_random_seed3_test_metrics.csv,0.5891617071310219,0.4175969068240675,0.7104825876249656,0.5032308114302805,0.8128276151769318
fp6,weak_simsiam,1,seedrep_fp6_weak_simsiam_seed1,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/seed_replication/raw_results/seedrep_fp6_weak_simsiam_seed1_test_metrics.csv,0.5967876412676232,0.4253010155973516,0.7903118686987897,0.4793972876598626,0.8272381950827221
fp6,weak_simsiam,2,seedrep_fp6_weak_simsiam_seed2,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/seed_replication/raw_results/seedrep_fp6_weak_simsiam_seed2_test_metrics.csv,0.5517522452627291,0.38097918222758587,0.8280098693849128,0.4137188744747751,0.8207259234260127
fp6,weak_simsiam,3,seedrep_fp6_weak_simsiam_seed3,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/seed_replication/raw_results/seedrep_fp6_weak_simsiam_seed3_test_metrics.csv,0.5623735286573456,0.3911819515483285,0.6246966177842674,0.5113577350832393,0.7877529368681085
fp7,random,1,seedrep_fp7_random_seed1,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/seed_replication/raw_results/seedrep_fp7_random_seed1_test_metrics.csv,0.4740355185301221,0.3106464955681894,0.5719526081629275,0.4047441645402858,0.8089890439286216
fp7,random,2,seedrep_fp7_random_seed2,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/seed_replication/raw_results/seedrep_fp7_random_seed2_test_metrics.csv,0.5118649938718054,0.3439640837450557,0.55889475602199,0.47213580617133427,0.8084934593265917
fp7,random,3,seedrep_fp7_random_seed3,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/seed_replication/raw_results/seedrep_fp7_random_seed3_test_metrics.csv,0.4804793331017884,0.3162045397398974,0.5159159023914129,0.44959792773188995,0.7932314098390786
fp7,weak_simsiam,1,seedrep_fp7_weak_simsiam_seed1,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/seed_replication/raw_results/seedrep_fp7_weak_simsiam_seed1_test_metrics.csv,0.4769882482222849,0.3131875034224428,0.4292778407335193,0.5366298782653134,0.7497288630558927
fp7,weak_simsiam,2,seedrep_fp7_weak_simsiam_seed2,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/seed_replication/raw_results/seedrep_fp7_weak_simsiam_seed2_test_metrics.csv,0.48717755926868184,0.3220322135314159,0.5668423391238323,0.42714590320465506,0.8087558583316665
fp7,weak_simsiam,3,seedrep_fp7_weak_simsiam_seed3,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/seed_replication/raw_results/seedrep_fp7_weak_simsiam_seed3_test_metrics.csv,0.48022351452073503,0.3159829877018503,0.47633483979994967,0.48417620411648143,0.7771006527110071
