run_name,fold,method,seed,model_path,val_csv,test_csv,selected_threshold,val_dice,val_iou,val_precision,val_recall,val_accuracy,test_dice,test_iou,test_precision,test_recall,test_accuracy,test_tp,test_fp,test_fn,test_tn
seedrep_fp4_random_seed3,fp4,random,3,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/seed_replication/models/seedrep_fp4_random_seed3_best.pt,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/training/lofo_csvs/heldout_fp4/validation.csv,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/training/lofo_csvs/heldout_fp4/test.csv,0.36,0.6290870114693163,0.45888179390842226,0.5676388116392103,0.7054540232025488,0.7621378034553193,0.4916724398119253,0.3259719259857708,0.3556029404421973,0.7964170036116982,0.7169406954096106,1623821,2942567,415087,6880541
seedrep_fp4_weak_simsiam_seed1,fp4,weak_simsiam,1,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/seed_replication/models/seedrep_fp4_weak_simsiam_seed1_best.pt,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/training/lofo_csvs/heldout_fp4/validation.csv,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/training/lofo_csvs/heldout_fp4/test.csv,0.46,0.6393256356616767,0.46985939650047837,0.567519615395494,0.7319344121851932,0.7638648116348495,0.5187105229614462,0.3501749867274224,0.3925345753964417,0.7644273307083613,0.7561702833649798,1558597,2412001,480311,7411107
seedrep_fp4_weak_simsiam_seed2,fp4,weak_simsiam,2,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/seed_replication/models/seedrep_fp4_weak_simsiam_seed2_best.pt,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/training/lofo_csvs/heldout_fp4/validation.csv,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/training/lofo_csvs/heldout_fp4/test.csv,0.6,0.6378861314739044,0.46830602507861013,0.6477605338045596,0.6283082578585673,0.7960281884110132,0.5801797094433246,0.4086289745977999,0.513613814146768,0.6665690654016432,0.8341883032361376,1359073,1287026,679835,8536082
seedrep_fp4_weak_simsiam_seed3,fp4,weak_simsiam,3,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/seed_replication/models/seedrep_fp4_weak_simsiam_seed3_best.pt,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/training/lofo_csvs/heldout_fp4/validation.csv,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/training/lofo_csvs/heldout_fp4/test.csv,0.56,0.640287257618404,0.47089891685277063,0.633270208787391,0.6474615558732537,0.7919870671009775,0.5902233264642136,0.418664415111867,0.5511757476304373,0.6352253264982709,0.8483900207182249,1295166,1054658,743742,8768450
seedrep_fp5_random_seed1,fp5,random,1,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/seed_replication/models/seedrep_fp5_random_seed1_best.pt,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/training/lofo_csvs/heldout_fp5/validation.csv,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/training/lofo_csvs/heldout_fp5/test.csv,0.47,0.6741063651752457,0.508416623679126,0.7297503421778764,0.6263469681881418,0.8519969381344463,0.6417245570758835,0.47245539218052024,0.6936374225568145,0.5970411049441845,0.8468587875366129,1438115,635180,970622,7441843
seedrep_fp5_random_seed2,fp5,random,2,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/seed_replication/models/seedrep_fp5_random_seed2_best.pt,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/training/lofo_csvs/heldout_fp5/validation.csv,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/training/lofo_csvs/heldout_fp5/test.csv,0.52,0.6722217701868577,0.5062756378235386,0.6953969239140304,0.6505414915514969,0.8449574853204536,0.5780814488755293,0.4065503248539625,0.5975958142136006,0.5598012568412176,0.8122876167297285,1348414,907984,1060323,7169039
seedrep_fp5_random_seed3,fp5,random,3,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/seed_replication/models/seedrep_fp5_random_seed3_best.pt,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/training/lofo_csvs/heldout_fp5/validation.csv,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/training/lofo_csvs/heldout_fp5/test.csv,0.48,0.6640698732683825,0.49708428605696914,0.6776623405654602,0.6510119560825277,0.8390346454207223,0.5890747809480433,0.41750956960274654,0.6073035466307841,0.5719084316801472,0.8167101860046309,1377577,890773,1031160,7186250
seedrep_fp5_weak_simsiam_seed1,fp5,weak_simsiam,1,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/seed_replication/models/seedrep_fp5_weak_simsiam_seed1_best.pt,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/training/lofo_csvs/heldout_fp5/validation.csv,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/training/lofo_csvs/heldout_fp5/test.csv,0.47,0.6611584929934693,0.4938287986542414,0.681109801531968,0.6423427622431875,0.8390962637154078,0.6026166397073615,0.4312464688152305,0.6150613198962036,0.5906655645676306,0.8210508346557538,1422758,890439,985979,7186584
seedrep_fp5_weak_simsiam_seed2,fp5,weak_simsiam,2,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/seed_replication/models/seedrep_fp5_weak_simsiam_seed2_best.pt,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/training/lofo_csvs/heldout_fp5/validation.csv,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/training/lofo_csvs/heldout_fp5/test.csv,0.47,0.6756282568342914,0.5101500091049247,0.7231910062403406,0.6339356445880817,0.8512391497375016,0.644700808088862,0.4756889194184162,0.6795794541295149,0.6132275960388945,0.8447337150573649,1477104,696452,931633,7380571
seedrep_fp5_weak_simsiam_seed3,fp5,weak_simsiam,3,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/seed_replication/models/seedrep_fp5_weak_simsiam_seed3_best.pt,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/training/lofo_csvs/heldout_fp5/validation.csv,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/training/lofo_csvs/heldout_fp5/test.csv,0.62,0.685715623038063,0.5217406788499944,0.7021784007111695,0.6700071106557762,0.8499049289970558,0.6000091561955275,0.42858077168919456,0.5883690454147623,0.6121191313123594,0.8125231742858808,1474434,1031534,934303,7045489
